ticker,period_end,frequency,total_debt,short_term_debt,long_term_debt,cash_and_equivalents,net_debt,interest_expense
NWBI,2018-03-31,quarterly,219451000.0,108238000.0,111213000.0,950134000.0,23613000.0,7766000.0
NWBI,2018-06-30,quarterly,211102000.0,99889000.0,111213000.0,932923000.0,78057000.0,8649000.0
NWBI,2018-09-30,quarterly,290330000.0,179117000.0,111213000.0,885502000.0,216384000.0,9788000.0
NWBI,2018-12-31,quarterly,345602000.0,234389000.0,111213000.0,870239000.0,276813000.0,10937000.0
NWBI,2019-03-31,quarterly,356146000.0,234389000.0,121757000.0,935580000.0,142915000.0,12307000.0
NWBI,2019-06-30,quarterly,293434000.0,171677000.0,121757000.0,961753000.0,186446000.0,14204000.0
NWBI,2019-09-30,quarterly,377044000.0,255257000.0,121787000.0,915425000.0,269442000.0,15930000.0
NWBI,2019-12-31,quarterly,368136000.0,92736000.0,121800000.0,880747000.0,307290000.0,14473000.0
NWBI,2020-03-31,quarterly,313412000.0,91599000.0,121813000.0,1042033000.0,36958000.0,13150000.0
NWBI,2020-06-30,quarterly,568709000.0,139598000.0,128630000.0,2036019000.0,-268518000.0,10469000.0
NWBI,2020-09-30,quarterly,526945000.0,250109000.0,128729000.0,2065899000.0,-129804000.0,9880000.0
NWBI,2020-12-31,quarterly,411838000.0,137661000.0,128794000.0,2135218000.0,-324439000.0,8841000.0
NWBI,2021-03-31,quarterly,382476000.0,128192000.0,128859000.0,2409421000.0,-596814000.0,7568000.0
NWBI,2021-06-30,quarterly,386301000.0,133876000.0,386301000.0,2456176000.0,-470851000.0,6823000.0
NWBI,2021-09-30,quarterly,505467000.0,126496000.0,378971000.0,2674200000.0,-711514000.0,6596000.0
NWBI,2021-12-31,quarterly,391722000.0,139093000.0,391722000.0,2827851000.0,-887537000.0,6259000.0
NWBI,2022-03-31,quarterly,495661000.0,121436000.0,374225000.0,2603104000.0,-786781000.0,5810000.0
NWBI,2022-06-30,quarterly,503830000.0,130490000.0,373340000.0,504532000.0,-131192000.0,5631000.0
NWBI,2022-09-30,quarterly,503253000.0,110215000.0,393038000.0,1370340000.0,234668000.0,5867000.0
NWBI,2022-12-31,quarterly,924320000.0,681166000.0,924320000.0,1357473000.0,784955000.0,10809000.0
NWBI,2023-03-31,quarterly,931947000.0,688641000.0,931947000.0,1302007000.0,835450000.0,22476000.0
NWBI,2023-06-30,quarterly,875772000.0,632313000.0,875772000.0,1201579000.0,748145000.0,35447000.0
NWBI,2023-09-30,quarterly,848198000.0,604587000.0,848198000.0,1172071000.0,686203000.0,43230000.0
NWBI,2023-12-31,quarterly,642658000.0,398895000.0,243763000.0,1165619000.0,520398000.0,51086000.0
NWBI,2024-03-31,quarterly,644698000.0,400783000.0,243915000.0,1213328000.0,525379000.0,57001000.0
NWBI,2024-06-30,quarterly,486430000.0,242363000.0,244067000.0,1257624000.0,257997000.0,60013000.0
NWBI,2024-09-30,quarterly,448594000.0,204374000.0,244220000.0,1338751000.0,221711000.0,60079000.0
