ticker,period_end,frequency,total_debt,short_term_debt,long_term_debt,cash_and_equivalents,net_debt,interest_expense,fiscal_year
PRSU,2021-12-31,annual,565237000.0,25251000.0,446580000.0,61600000.0,503637000.0,28324000.0,2021
PRSU,2022-12-31,annual,584704000.0,26655000.0,456752000.0,59719000.0,524985000.0,4064000.0,2022
PRSU,2023-12-31,annual,490056000.0,9842000.0,444304000.0,27435000.0,462621000.0,5963000.0,2023
PRSU,2024-12-31,annual,112733000.0,4954000.0,71443000.0,49702000.0,63031000.0,14182000.0,2024
PRSU,2025-12-31,annual,195221000.0,4862000.0,155020000.0,31118000.0,164103000.0,8823000.0,2025
RNG,2018-12-31,annual,366552000.0,0.0,366552000.0,566329000.0,-199777000.0,16102000.0,2018
RNG,2019-12-31,annual,429654000.0,14249000.0,386889000.0,343606000.0,86048000.0,20512000.0,2019
RNG,2020-12-31,annual,1461457000.0,47415000.0,1375320000.0,639853000.0,821604000.0,49281000.0,2020
RNG,2021-12-31,annual,1448987000.0,18686000.0,1398489000.0,267162000.0,1181825000.0,64382000.0,2021
RNG,2022-12-31,annual,1676106000.0,17513000.0,1638411000.0,269984000.0,1406122000.0,4807000.0,2022
RNG,2023-12-31,annual,1590367000.0,36707000.0,1525482000.0,222195000.0,1368172000.0,35997000.0,2023
RNG,2024-12-31,annual,1579311000.0,201697000.0,1347881000.0,242811000.0,1336500000.0,64995000.0,2024
RNG,2025-12-31,annual,1481989000.0,624216000.0,629580000.0,132564000.0,1349425000.0,60279000.0,2025
SFBS,2018-12-31,annual,353391000.0,288725000.0,64666000.0,1048234000.0,-104659000.0,63948000.0,2018
SFBS,2019-12-31,annual,538457000.0,473754000.0,64703000.0,1289526000.0,-465424000.0,103158000.0,2019
SFBS,2020-12-31,annual,919317000.0,854569000.0,64748000.0,3096328000.0,-2144892000.0,50985000.0,2020
SFBS,2021-12-31,annual,1780567000.0,1715861000.0,64706000.0,5006294000.0,-4099018000.0,31802000.0,2021
SFBS,2022-12-31,annual,1683524000.0,1618798000.0,64726000.0,1459353000.0,868986000.0,88423000.0,2022
SFBS,2023-12-31,annual,1321459000.0,1256724000.0,64735000.0,2856440000.0,-709054000.0,402309000.0,2023
SFBS,2024-12-31,annual,2058471000.0,1993728000.0,64743000.0,2818590000.0,-317118000.0,499462000.0,2024
SFBS,2025-12-31,annual,1506378000.0,1471628000.0,34750000.0,1163952000.0,1411251000.0,455218000.0,2025
SMPL,2018-08-31,annual,191583000.0,648000.0,190935000.0,111971000.0,79612000.0,12551000.0,2018
SMPL,2019-08-31,annual,190935000.0,676000.0,190259000.0,266341000.0,-75406000.0,13627000.0,2019
SMPL,2020-08-31,annual,624243000.0,4600000.0,596879000.0,95847000.0,528396000.0,32813000.0,2020
SMPL,2021-08-31,annual,600952000.0,4073000.0,596879000.0,75345000.0,379997000.0,31557000.0,2021
SMPL,2022-08-31,annual,454174000.0,6513000.0,403022000.0,67494000.0,386680000.0,21881000.0,2022
