ticker,name,sector,industry,period_end,fiscal_year,total_debt,net_debt,ebitda,interest_expense,fcf,cash,interest_coverage_ebit,net_debt_to_ebitda,debt_to_equity,fcf_to_debt,implied_cost_of_debt,debt_5y_pct,interest_5y_pct,ebitda_5y_pct,cash_5y_pct,score_coverage,score_leverage,score_fcf,score_trend,stress_score
CE,Celanese Corporation,Basic Materials,Chemicals,2025-12-31,2025,12934000000.0,11671000000.0,292000000.0,769000000.0,803000000.0,1263000000.0,-0.5864759427828349,39.96917808219178,3.1943689799950605,0.062084428637699,0.059414355249942,226.0398285858331,605.5045871559633,-89.24889543446244,-15.120967741935488,100.0,100.0,7.5831142724602,100.0,76.9
ABR,Arbor Realty Trust,Real Estate,REIT - Mortgage,2025-12-31,2025,11049401000.0,10566526000.0,901658000.0,701836000.0,396347000.0,482875000.0,1.2516371346012458,11.718995450603222,3.7413072531458313,0.035870451257946,0.0665438636013686,136.062852097217,314.7574697428139,94.89914142680512,42.2194929431446,87.48362865398754,100.0,12.8259097484108,100.0,75.1
JBLU,JetBlue Airways Corp,Industrials,Airlines,2025-12-31,2025,10255000000.0,8209000000.0,494000000.0,580000000.0,-915000000.0,2259000000.0,-0.3344827586206896,16.61740890688259,4.837264150943396,-0.0892247684056557,0.0598030623292261,79.03282122905028,224.02234636871506,-132.80212483399734,-26.00720602685883,100.0,100.0,37.844953681131145,100.0,84.5
CWEN-A,Clearway Energy Inc,Utilities,Utilities - Renewable,2025-12-31,2025,10198000000.0,9380000000.0,1097000000.0,387000000.0,369000000.0,818000000.0,0.5478036175710594,8.550592525068367,5.3004158004158,0.0361835654049813,0.0431269850114225,39.431227782335256,-6.746987951807226,24.800910125142206,205.22388059701493,94.5219638242894,100.0,12.76328691900374,0.0,51.8
CWEN,Clearway Energy Inc Class C,Utilities,Utilities - Renewable,2025-12-31,2025,10198000000.0,9380000000.0,1097000000.0,387000000.0,369000000.0,818000000.0,0.5478036175710594,8.550592525068367,5.3004158004158,0.0361835654049813,0.0431269850114225,39.431227782335256,-6.746987951807226,24.800910125142206,205.22388059701493,94.5219638242894,100.0,12.76328691900374,0.0,51.8
UNIT,Uniti Group Inc,Real Estate,REIT - Specialty,2025-12-31,2025,10022500000.0,9888400000.0,1140400000.0,602800000.0,-459600000.0,134100000.0,0.7859986728599867,8.67099263416345,26.354194057323166,-0.0458568221501621,0.0758058251645786,85.93501986151482,21.25649732060959,54.34713759416609,72.95638042665153,92.14001327140014,100.0,29.17136443003242,14.170998213739727,58.9
MPT,"Medical Properties Trust, Inc.",Real Estate,REIT - Healthcare Facilities,2025-12-31,2025,9826132000.0,9285273000.0,812592000.0,510362000.0,230767000.0,540859000.0,1.057631641854213,11.426734449760763,2.132574188212228,0.0234850295111036,0.0542843329164381,9.073818539169753,42.99539377094377,-26.421844397782312,-1.6412552465610908,89.42368358145787,100.0,15.30299409777928,28.66359584729585,58.3
OGN,Organon & Co,Healthcare,Drug Manufacturers - General,2025-12-31,2025,8800000000.0,8226000000.0,1282333245.0,504000000.0,538000000.0,574000000.0,1.843253968253968,6.414869170766917,11.702127659574469,0.0611363636363636,0.0565149136577708,28287.09677419355,8300.0,-57.09825209100033,4683.333333333334,81.56746031746032,80.18586463458647,7.7727272727272805,100.0,67.4
TWO,Two Harbors Investments Corp,Real Estate,REIT - Mortgage,2025-12-31,2025,8561436000.0,7719117000.0,45515000.0,490943000.0,88917000.0,7356790000.0,,169.59501263319785,4.788470670223113,0.0103857577163457,0.0997459535215222,786.6239584433661,74.55875241779498,-102.73228308169595,-54.12238678158203,100.0,100.0,17.92284845673086,49.70583494519665,66.9
PENN,Penn National Gaming Inc,Consumer Cyclical,Resorts & Casinos,2025-12-31,2025,8377500000.0,7690900000.0,32000000.0,405800000.0,-139500000.0,686600000.0,-1.0224248398225726,240.340625,4.567884405670665,-0.016651745747538,0.0413518319432202,-24.915975801030697,-25.294550810014726,-58.22454308093995,-62.96256338332075,100.0,100.0,23.3303491495076,0.0,55.8
SLG,SL Green Realty Corp,Real Estate,REIT - Office,2025-12-31,2025,7971340000.0,7634845000.0,414195000.0,255403000.0,82906000.0,336495000.0,0.620517378417638,18.432972392230717,2.05955106750523,0.0104005098264532,0.0408776785848614,47.05351165447607,114.88078210974439,-19.08151922276685,14.209734954807573,93.79482621582362,100.0,17.91989803470936,76.58718807316292,72.1
ARI,Apollo Commercial Real Estate Finance Inc,Real Estate,REIT - Mortgage,2025-12-31,2025,7918012000.0,7778187000.0,598313000.0,460089000.0,42311000.0,139825000.0,1.2761443981490537,13.000197221186903,4.2659633961715215,0.0053436392872352,0.064311166696894,-1.021101174206973,209.0106185061555,-1479.618612802066,-57.042746806432,87.23855601850946,100.0,18.93127214255296,100.0,76.5
ADT,ADT Inc,Industrials,Security & Protection Services,2025-12-31,2025,7689000000.0,7608000000.0,2660000000.0,459000000.0,1313000000.0,81000000.0,2.816993464052288,2.860150375939849,2.0346652553585605,0.1707634282741578,0.059247051297491,-19.26061244117413,-35.186793356010895,37.1232975575557,-60.48780487804878,71.83006535947712,35.751879699248114,0.0,0.0,26.9
VSAT,ViaSat Inc,Technology,Communication Equipment,2025-03-31,2025,7515552000.0,5903447000.0,1237457000.0,421944000.0,-121995000.0,1612105000.0,-0.2923373717839334,4.770627989497817,1.6503800865688691,-0.0162323406184934,0.055687306215119,244.72684640072436,991.9593178230377,277.7352800222223,429.7592249982748,100.0,59.632849868722715,23.24646812369868,100.0,70.7
LTH,Life Time Group Holdings Inc,Consumer Cyclical,Leisure,2025-12-31,2025,6749361000.0,6517192000.0,872111000.0,82263000.0,-20958000.0,232169000.0,6.999088289996718,7.472892785436716,2.1589588802547235,-0.0031051828461983,0.0153237627574614,66.15705371467567,-35.92924903032853,-881.1604847594566,599.4095496309685,30.009117100032825,93.41115981795896,20.62103656923966,0.0,36.0
KSS,Kohl's Corporation,Consumer Cyclical,Department Stores,2026-01-31,2026,6630000000.0,6511000000.0,1210000000.0,288000000.0,1104000000.0,674000000.0,1.7708333333333333,5.38099173553719,1.6378458498023716,0.1665158371040724,0.0417724272971208,3.4967218232906605,39.13043478260869,-40.24691358024691,-6.777316735822958,82.29166666666667,67.26239669421487,0.0,26.086956521739125,43.9
ABG,Asbury Automotive Group Inc,Consumer Cyclical,Auto & Truck Dealerships,2025-12-31,2025,6325000000.0,6284600000.0,1023300000.0,278700000.0,576600000.0,40900000.0,3.376031575170434,6.1415029805531125,1.6251702253398084,0.0911620553359683,0.0480330906114007,167.419245729748,274.09395973154363,126.84548880514299,2821.4285714285716,66.23968424829566,76.76878725691391,1.7675889328063406,100.0,61.2
