ticker,period_end,frequency,total_debt,short_term_debt,long_term_debt,cash_and_equivalents,net_debt,interest_expense
HOPE,2024-06-30,quarterly,326022000.0,177697000.0,278918000.0,2568835000.0,-328022000.0,126741000.0
HOPE,2024-09-30,quarterly,256264000.0,103948000.0,209249000.0,2601838000.0,-424593000.0,130275000.0
HOPE,2024-12-31,quarterly,392643000.0,254093000.0,348584000.0,458199000.0,-65556000.0,124486000.0
HOPE,2025-03-31,quarterly,250843000.0,111374000.0,209921000.0,737427000.0,-482639000.0,116349000.0
HOPE,2025-06-30,quarterly,200900000.0,29752000.0,140015000.0,689734000.0,-488834000.0,121637000.0
HOPE,2025-09-30,quarterly,223874000.0,29624000.0,135488000.0,454909000.0,-231035000.0,118143000.0
HOPE,2025-12-31,quarterly,395884000.0,284922000.0,395884000.0,2632923000.0,-164175000.0,112801000.0
INVA,2018-03-31,quarterly,484591000.0,484591000.0,484591000.0,56460000.0,457453000.0,7657000.0
INVA,2018-06-30,quarterly,486527000.0,486527000.0,486527000.0,107542000.0,399301000.0,6478000.0
INVA,2018-09-30,quarterly,381002000.0,,381002000.0,55480000.0,332387000.0,5238000.0
INVA,2018-12-31,quarterly,382855000.0,,382855000.0,114908000.0,320438000.0,4581000.0
INVA,2019-03-31,quarterly,386290000.0,616000.0,384744000.0,192178000.0,321139000.0,4617000.0
INVA,2019-06-30,quarterly,386992000.0,317000.0,386675000.0,249663000.0,244723000.0,4661000.0
INVA,2019-09-30,quarterly,388644000.0,,388644000.0,297201000.0,215698000.0,4693000.0
INVA,2019-12-31,quarterly,377120000.0,,377120000.0,350845000.0,99024000.0,4689000.0
INVA,2020-03-31,quarterly,379152000.0,,379152000.0,383951000.0,27171000.0,4516000.0
INVA,2020-06-30,quarterly,381230000.0,,381230000.0,417146000.0,-31917000.0,4561000.0
INVA,2020-09-30,quarterly,383350000.0,,383350000.0,479193000.0,-95843000.0,4603000.0
INVA,2020-12-31,quarterly,410517000.0,25000000.0,385517000.0,246487000.0,139030000.0,4651000.0
INVA,2021-03-31,quarterly,387728000.0,,387728000.0,282890000.0,104838000.0,4694000.0
INVA,2021-06-30,quarterly,389989000.0,126000.0,389989000.0,43265000.0,346724000.0,4745000.0
INVA,2021-09-30,quarterly,392295000.0,,392295000.0,135115000.0,257180000.0,4790000.0
INVA,2021-12-31,quarterly,394759000.0,106000.0,394653000.0,201525000.0,193234000.0,4841000.0
INVA,2022-03-31,quarterly,542668000.0,96638000.0,538747000.0,216802000.0,325866000.0,3010000.0
INVA,2022-06-30,quarterly,543028000.0,96759000.0,443178000.0,283580000.0,259448000.0,3655000.0
INVA,2022-09-30,quarterly,539810000.0,96131000.0,443679000.0,301071000.0,142890000.0,5096000.0
INVA,2022-12-31,quarterly,544065000.0,97509000.0,540373000.0,291049000.0,253016000.0,4028000.0
INVA,2023-03-31,quarterly,445958000.0,1266000.0,444692000.0,144049000.0,300643000.0,4427000.0
INVA,2023-06-30,quarterly,448285000.0,1226000.0,445201000.0,173025000.0,275260000.0,4382000.0
INVA,2023-09-30,quarterly,448882000.0,1211000.0,445718000.0,179997000.0,268885000.0,4396000.0
INVA,2023-12-31,quarterly,449076000.0,1207000.0,446234000.0,193513000.0,255563000.0,5952000.0
INVA,2024-03-31,quarterly,449331000.0,1268000.0,446759000.0,178357000.0,270974000.0,5851000.0
INVA,2024-06-30,quarterly,450716000.0,1451000.0,447282000.0,217003000.0,233713000.0,5802000.0
INVA,2024-09-30,quarterly,450911000.0,193354000.0,255972000.0,260630000.0,190281000.0,5807000.0
INVA,2024-12-31,quarterly,451095000.0,193600000.0,256316000.0,412496000.0,146131000.0,4749000.0
INVA,2025-03-31,quarterly,451256000.0,193495000.0,256670000.0,446880000.0,132166000.0,4711000.0
INVA,2025-06-30,quarterly,450905000.0,192886000.0,257019000.0,497730000.0,53373000.0,4663000.0
INVA,2025-09-30,quarterly,323230000.0,8422000.0,257377000.0,533102000.0,-153283000.0,4015000.0
INVA,2025-12-31,quarterly,269017000.0,418000.0,257731000.0,550941000.0,-281924000.0,3309000.0
LNN,2018-02-28,quarterly,116876000.0,203000.0,116673000.0,102211000.0,14665000.0,1095000.0
LNN,2018-05-31,quarterly,116826000.0,204000.0,116622000.0,111779000.0,5047000.0,1226000.0
LNN,2018-08-31,quarterly,116775000.0,205000.0,116570000.0,160787000.0,-44012000.0,1185000.0
LNN,2018-11-30,quarterly,116724000.0,206000.0,116518000.0,137217000.0,-20493000.0,1205000.0
LNN,2019-02-28,quarterly,116673000.0,207000.0,116466000.0,102778000.0,13895000.0,1178000.0
LNN,2019-05-31,quarterly,116093000.0,208000.0,115885000.0,110839000.0,5254000.0,1169000.0
LNN,2019-08-31,quarterly,116055000.0,209000.0,115846000.0,127204000.0,-11149000.0,1215000.0
LNN,2019-11-30,quarterly,145538000.0,4410000.0,115805000.0,120910000.0,24628000.0,1186000.0
LNN,2020-02-29,quarterly,146685000.0,5001000.0,115765000.0,120012000.0,45413000.0,1191000.0
LNN,2020-05-31,quarterly,147297000.0,5241000.0,115723000.0,121486000.0,44823000.0,1197000.0
LNN,2020-08-31,quarterly,146862000.0,5318000.0,115682000.0,140914000.0,25459000.0,1185000.0
LNN,2020-11-30,quarterly,145722000.0,5218000.0,115641000.0,146426000.0,18920000.0,1201000.0
LNN,2021-02-28,quarterly,139953000.0,4180000.0,115599000.0,130330000.0,29178000.0,1205000.0
LNN,2021-05-31,quarterly,139097000.0,4171000.0,115557000.0,140464000.0,18296000.0,1178000.0
LNN,2021-08-31,quarterly,138023000.0,4208000.0,115514000.0,146711000.0,10916000.0,1167000.0
LNN,2021-11-30,quarterly,137156000.0,4006000.0,115471000.0,114914000.0,52437000.0,1163000.0
LNN,2022-02-28,quarterly,136246000.0,3648000.0,115428000.0,93885000.0,67295000.0,1176000.0
LNN,2022-05-31,quarterly,139622000.0,3550000.0,115384000.0,95687000.0,57865000.0,1006000.0
LNN,2022-08-31,quarterly,138532000.0,3381000.0,115341000.0,116508000.0,33484000.0,924000.0
LNN,2022-11-30,quarterly,137760000.0,3302000.0,115297000.0,110592000.0,38592000.0,909000.0
LNN,2023-02-28,quarterly,137205000.0,3293000.0,115253000.0,106438000.0,39530000.0,1038000.0
LNN,2023-05-31,quarterly,136533000.0,3205000.0,115209000.0,144383000.0,4956000.0,948000.0
LNN,2023-08-31,quarterly,136107000.0,3254000.0,115164000.0,166311000.0,-24648000.0,893000.0
LNN,2023-11-30,quarterly,136530000.0,3664000.0,115120000.0,175659000.0,-22851000.0,877000.0
LNN,2024-02-29,quarterly,135654000.0,3643000.0,115075000.0,150634000.0,2239000.0,830000.0
LNN,2024-05-31,quarterly,135091000.0,3928000.0,115029000.0,152718000.0,-5130000.0,767000.0
LNN,2024-08-31,quarterly,134386000.0,3851000.0,114994000.0,190879000.0,-56493000.0,760000.0
LNN,2024-11-30,quarterly,133590000.0,3818000.0,114948000.0,194066000.0,-60476000.0,752000.0
LNN,2025-02-28,quarterly,136018000.0,4052000.0,114903000.0,186720000.0,-36026000.0,402000.0
LNN,2025-05-31,quarterly,135377000.0,3949000.0,114856000.0,210793000.0,-60740000.0,345000.0
LNN,2025-08-31,quarterly,136510000.0,4346000.0,114810000.0,250575000.0,-114065000.0,334000.0
LNN,2025-11-30,quarterly,135874000.0,4360000.0,114792000.0,199622000.0,-63748000.0,
LNN,2026-02-28,quarterly,138577000.0,4245000.0,114804000.0,186111000.0,-47534000.0,
LPG,2018-03-31,quarterly,759103152.0,67953538.0,694035583.0,103505676.0,655597476.0,10894624.0
LPG,2018-06-30,quarterly,741653103.0,58105841.0,677684689.0,65291784.0,676361319.0,10374281.0
LPG,2018-09-30,quarterly,726536136.0,57445154.0,662567722.0,48244169.0,678291967.0,10152672.0
LPG,2018-12-31,quarterly,711330757.0,54287082.0,647362343.0,34947580.0,676383177.0,10000018.0
LPG,2019-03-31,quarterly,696090786.0,63968414.0,632122372.0,30838684.0,665252102.0,10122260.0
LPG,2019-06-30,quarterly,681907799.0,64588040.0,616874541.0,21717046.0,660190753.0,9697282.0
LPG,2019-09-30,quarterly,666737832.0,64738106.0,601577085.0,46419951.0,620317881.0,9303373.0
