ticker,name,sector,industry,period_end,fiscal_year,total_debt,net_debt,ebitda,interest_expense,fcf,cash,interest_coverage_ebit,net_debt_to_ebitda,debt_to_equity,fcf_to_debt,implied_cost_of_debt,debt_5y_pct,interest_5y_pct,ebitda_5y_pct,cash_5y_pct,score_coverage,score_leverage,score_fcf,score_trend,stress_score
VSAT,ViaSat Inc,Technology,Communication Equipment,2025-03-31,2025,7515552000.0,5903447000.0,1237457000.0,421944000.0,-121995000.0,1612105000.0,-0.2923373717839334,4.770627989497817,1.6503800865688691,-0.0162323406184934,0.055687306215119,244.72684640072436,991.9593178230377,277.7352800222223,429.7592249982748,100.0,59.632849868722715,23.24646812369868,100.0,70.7
LTH,Life Time Group Holdings Inc,Consumer Cyclical,Leisure,2025-12-31,2025,6749361000.0,6517192000.0,872111000.0,82263000.0,-20958000.0,232169000.0,6.999088289996718,7.472892785436716,2.1589588802547235,-0.0031051828461983,0.0153237627574614,66.15705371467567,-35.92924903032853,-881.1604847594566,599.4095496309685,30.009117100032825,93.41115981795896,20.62103656923966,0.0,36.0
KSS,Kohl's Corporation,Consumer Cyclical,Department Stores,2026-01-31,2026,6630000000.0,6511000000.0,1210000000.0,288000000.0,1104000000.0,674000000.0,1.7708333333333333,5.38099173553719,1.6378458498023716,0.1665158371040724,0.0417724272971208,3.4967218232906605,39.13043478260869,-40.24691358024691,-6.777316735822958,82.29166666666667,67.26239669421487,0.0,26.086956521739125,43.9
ABG,Asbury Automotive Group Inc,Consumer Cyclical,Auto & Truck Dealerships,2025-12-31,2025,6325000000.0,6284600000.0,1023300000.0,278700000.0,576600000.0,40900000.0,3.376031575170434,6.1415029805531125,1.6251702253398084,0.0911620553359683,0.0480330906114007,167.419245729748,274.09395973154363,126.84548880514299,2821.4285714285716,66.23968424829566,76.76878725691391,1.7675889328063406,100.0,61.2
GPI,Group 1 Automotive Inc,Consumer Cyclical,Auto & Truck Dealerships,2025-12-31,2025,5870300000.0,5837800000.0,855400000.0,284400000.0,424500000.0,32500000.0,2.5819268635724333,6.824643441664718,2.104729124090208,0.0723131696846839,0.0512086428089128,121.53747452637936,181.30563798219583,53.379953379953385,-52.89855072463768,74.18073136427566,85.30804302080898,5.537366063063219,100.0,66.3
VAC,Marriot Vacations Worldwide,Consumer Cyclical,Resorts & Casinos,2025-12-31,2025,5753000000.0,5020000000.0,19000000.0,169000000.0,-29000000.0,733000000.0,-0.7692307692307693,264.2105263157895,2.8866031108881085,-0.0050408482530853,0.0307888504281289,30.571947344530194,12.666666666666671,-128.3582089552239,39.885496183206115,100.0,100.0,21.00816965061706,8.444444444444448,57.4
NWL,Newell Brands Inc,Consumer Defensive,Household & Personal Products,2025-12-31,2025,5652000000.0,5449000000.0,331000000.0,321000000.0,17000000.0,203000000.0,0.0623052959501557,16.462235649546827,2.3638644918444167,0.0030077848549186,0.0595823665893271,-8.95618556701031,17.15328467153285,-188.26666666666668,-79.30682976554536,99.37694704049844,100.0,19.39844302901628,11.435523114355234,57.6
CRGY,Crescent Energy Co,Energy,Oil & Gas E&P,2025-12-31,2025,5532216000.0,5531926000.0,1667004000.0,298432000.0,729121000.0,290000.0,1.6757653334763027,3.3184839388507767,1.0710067980721856,0.1317954685789564,0.0688773049151058,614.0259579345166,683.1422048442544,757.9669269211568,-99.21326062776376,83.24234666523697,41.48104923563471,0.0,100.0,56.2
TRN,Trinity Industries Inc,Industrials,Railroads,2025-12-31,2025,5442500000.0,5241200000.0,954700000.0,274200000.0,-435200000.0,201300000.0,2.3690736688548504,5.4898921127055615,5.052450798366134,-0.0799632521819017,0.0487605363303339,7.512543953221917,26.944444444444436,-1832.6678765880217,52.49999999999999,76.3092633114515,68.62365140881951,35.992650436380345,17.96296296296296,49.7
FUN,Six Flags Entertainment Corporation,Consumer Cyclical,Leisure,2025-12-31,2025,5427325000.0,5336191000.0,-791019000.0,359958000.0,-152198000.0,91134000.0,-3.548752910061729,,9.872225365024912,-0.0280429124845112,0.0679753447318626,82.958813303178,138.90647711208013,88.36476639519933,-75.82755108536507,100.0,100.0,25.60858249690224,92.60431807472008,79.6
