ticker,period_end,frequency,total_debt,short_term_debt,long_term_debt,cash_and_equivalents,net_debt,interest_expense,fiscal_year
AIN,2020-12-31,annual,433590000.0,5880000.0,398000000.0,241316000.0,192274000.0,11689000.0,2020
AIN,2021-12-31,annual,355336000.0,5336000.0,350000000.0,302036000.0,47964000.0,10912000.0,2021
AIN,2022-12-31,annual,495119000.0,5929000.0,439000000.0,291776000.0,203343000.0,17680000.0,2022
AIN,2023-12-31,annual,514857000.0,11553000.0,452667000.0,173420000.0,341437000.0,35409000.0,2023
AIN,2024-12-31,annual,387200000.0,7607000.0,318531000.0,115283000.0,271917000.0,30392000.0,2024
AIN,2025-12-31,annual,455663000.0,0.0,455663000.0,112350000.0,343313000.0,29410000.0,2025
AIR,2018-05-31,annual,347200000.0,170000000.0,177200000.0,31100000.0,146100000.0,8000000.0,2018
AIR,2019-05-31,annual,225500000.0,83800000.0,141700000.0,21300000.0,120400000.0,9500000.0,2019
AIR,2020-05-31,annual,688000000.0,88000000.0,600000000.0,404700000.0,266200000.0,9300000.0,2020
AIR,2021-05-31,annual,193600000.0,5400000.0,133700000.0,51800000.0,141800000.0,5000000.0,2021
AIR,2022-05-31,annual,156300000.0,11100000.0,98900000.0,53500000.0,102800000.0,2400000.0,2022
AIR,2023-05-31,annual,317900000.0,19700000.0,269700000.0,68400000.0,249500000.0,12200000.0,2023
AIR,2024-05-31,annual,1065700000.0,13200000.0,985400000.0,85800000.0,979900000.0,43200000.0,2024
AIR,2025-05-31,annual,1047600000.0,12300000.0,968000000.0,96500000.0,951100000.0,75400000.0,2025
AKR,2018-12-31,annual,3172201000.0,1550545000.0,1621656000.0,21268000.0,1695433000.0,69978000.0,2018
AKR,2019-12-31,annual,1842615000.0,60800000.0,1647396000.0,15845000.0,1826770000.0,69213000.0,2019
AKR,2020-12-31,annual,1802947000.0,138400000.0,1625439000.0,18699000.0,1784248000.0,69671000.0,2020
