ticker,fy,period_end,bucket,year,amount,tag,filed,form
DEI,2019,2019-12-31,y1,2020.0,752000.0,LongTermDebtMaturitiesRepaymentsOfPrincipalInNextTwelveMonths,2020-02-14,10-K
DEI,2019,2019-12-31,y2,2021.0,787000.0,LongTermDebtMaturitiesRepaymentsOfPrincipalInYearTwo,2020-02-14,10-K
DEI,2019,2019-12-31,y3,2022.0,300823000.0,LongTermDebtMaturitiesRepaymentsOfPrincipalInYearThree,2020-02-14,10-K
DEI,2019,2019-12-31,y4,2023.0,915862000.0,LongTermDebtMaturitiesRepaymentsOfPrincipalInYearFour,2020-02-14,10-K
DEI,2019,2019-12-31,y5,2024.0,800902000.0,LongTermDebtMaturitiesRepaymentsOfPrincipalInYearFive,2020-02-14,10-K
DEI,2019,2019-12-31,yGT5,2025.0,2634138000.0,LongTermDebtMaturitiesRepaymentsOfPrincipalAfterYearFive,2020-02-14,10-K
DXC,2025,2025-03-31,y1,2026.0,757000000.0,LongTermDebtMaturitiesRepaymentsOfPrincipalInNextTwelveMonths,2025-05-15,10-K
DXC,2025,2025-03-31,y2,2027.0,722000000.0,LongTermDebtMaturitiesRepaymentsOfPrincipalInYearTwo,2025-05-15,10-K
DXC,2025,2025-03-31,y3,2028.0,813000000.0,LongTermDebtMaturitiesRepaymentsOfPrincipalInYearThree,2025-05-15,10-K
DXC,2025,2025-03-31,y4,2029.0,653000000.0,LongTermDebtMaturitiesRepaymentsOfPrincipalInYearFour,2025-05-15,10-K
DXC,2025,2025-03-31,y5,2030.0,2000000.0,LongTermDebtMaturitiesRepaymentsOfPrincipalInYearFive,2025-05-15,10-K
DXC,2025,2025-03-31,yGT5,2031.0,651000000.0,LongTermDebtMaturitiesRepaymentsOfPrincipalAfterYearFive,2025-05-15,10-K
GPI,2025,2025-12-31,y1,2026.0,260000000.0,LongTermDebtMaturitiesRepaymentsOfPrincipalInNextTwelveMonths,2026-02-13,10-K
GPI,2025,2025-12-31,y2,2027.0,244400000.0,LongTermDebtMaturitiesRepaymentsOfPrincipalInYearTwo,2026-02-13,10-K
GPI,2025,2025-12-31,y3,2028.0,926000000.0,LongTermDebtMaturitiesRepaymentsOfPrincipalInYearThree,2026-02-13,10-K
GPI,2025,2025-12-31,y4,2029.0,318400000.0,LongTermDebtMaturitiesRepaymentsOfPrincipalInYearFour,2026-02-13,10-K
GPI,2025,2025-12-31,y5,2030.0,1575600000.0,LongTermDebtMaturitiesRepaymentsOfPrincipalInYearFive,2026-02-13,10-K
GPI,2025,2025-12-31,yGT5,2031.0,388300000.0,LongTermDebtMaturitiesRepaymentsOfPrincipalAfterYearFive,2026-02-13,10-K
HTZ,2025,2025-12-31,y1,2026.0,3185000000.0,LongTermDebtMaturitiesRepaymentsOfPrincipalInNextTwelveMonths,2026-02-26,10-K
HTZ,2025,2025-12-31,y2,2027.0,4760000000.0,LongTermDebtMaturitiesRepaymentsOfPrincipalInYearTwo,2026-02-26,10-K
HTZ,2025,2025-12-31,y3,2028.0,3946000000.0,LongTermDebtMaturitiesRepaymentsOfPrincipalInYearThree,2026-02-26,10-K
