ticker,period_end,fiscal_year,frequency,total_debt,short_term_debt,long_term_debt,capital_lease_obligations,cash_and_equivalents,net_debt,total_assets,total_liab,total_equity,current_assets,current_liab,working_capital,revenue,ebit,ebitda,operating_income,net_income,dep_amort,interest_expense,cfo,capex,fcf,dividends_paid,net_borrowings,stock_buybacks,avg_debt,interest_coverage_ebit,interest_coverage_ebitda,net_debt_to_ebitda,debt_to_equity,debt_to_assets,cash_to_st_debt,fcf_to_debt,fcf_minus_interest,implied_cost_of_debt
KRYS,2019-12-31,2019,annual,3262000.0,480000.0,,3262000.0,193685000.0,-184252000.0,209023000.0,6109000.0,202914000.0,195880000.0,3327000.0,192553000.0,0.0,-19088000.0,-18114000.0,-22081000.0,-19088000.0,974000.0,0.0,-18713000.0,-6399000.0,-25112000.0,,,107525000.0,,,,,0.016075775944488797,0.015605938102505466,403.5104166666667,-7.698344573881054,-25112000.0,
KRYS,2020-12-31,2020,annual,11546000.0,8238000.0,,11546000.0,271262000.0,-256723000.0,310844000.0,18760000.0,292084000.0,275058000.0,15452000.0,259606000.0,0.0,-32167000.0,-30316000.0,-32999000.0,-32167000.0,1851000.0,832000.0,-26083000.0,-14843000.0,-40926000.0,,,118019000.0,7404000.0,-38.66225961538461,-36.4375,,0.039529724325878854,0.03714403366318796,32.92813789754795,-3.5446041919279403,-41758000.0,0.11237169097784981
KRYS,2021-12-31,2021,annual,8024000.0,1041000.0,,8024000.0,438096000.0,-333222000.0,626295000.0,32719000.0,593576000.0,442267000.0,25736000.0,416531000.0,0.0,-68078000.0,-66229000.0,-68275000.0,-69570000.0,1849000.0,1492000.0,-47938000.0,-68336000.0,-116274000.0,,,355645000.0,9785000.0,-45.628686327077745,-44.38941018766756,,0.013518066768198176,0.012811853838845911,420.8414985590778,-14.490777666999003,-117766000.0,0.15247828308635666
KRYS,2022-12-31,2022,annual,8933000.0,1561000.0,,8933000.0,379171000.0,-152967000.0,558450000.0,36219000.0,522231000.0,383779000.0,28847000.0,354932000.0,0.0,-120196000.0,-116811000.0,-145196000.0,-139975000.0,3385000.0,,-100569000.0,-52979000.0,-153548000.0,,,,8478500.0,,,,0.017105457163592356,0.015996060524666487,242.9026265214606,-17.188850330236203,,
KRYS,2023-12-31,2023,annual,8094000.0,1474000.0,,8094000.0,532178000.0,-350234000.0,818355000.0,39714000.0,778641000.0,587909000.0,33094000.0,554815000.0,50699000.0,-97227000.0,-91316000.0,-109727000.0,10932000.0,5911000.0,0.0,-88804000.0,-11799000.0,-100603000.0,,,,8513500.0,,,,0.010395034425364193,0.00989057316201404,361.04341926729984,-12.429330368173956,-100603000.0,0.0
KRYS,2024-12-31,2024,annual,7261000.0,1217000.0,,7261000.0,597517000.0,-337604000.0,1055838000.0,109458000.0,946380000.0,742045000.0,101995000.0,640050000.0,290515000.0,103195000.0,109909000.0,65695000.0,89159000.0,6714000.0,,123420000.0,-4238000.0,119182000.0,,,,7677500.0,,,-3.0716683802054425,0.007672393753037892,0.006877001964316495,490.97534921939194,16.41399256300785,,
KRYS,2025-12-31,2025,annual,9339000.0,1771000.0,,9339000.0,827791000.0,-486965000.0,1333794000.0,114234000.0,1219560000.0,1024602000.0,102942000.0,921660000.0,389130000.0,161295000.0,167846000.0,161295000.0,204831000.0,6551000.0,,200865000.0,-11951000.0,188914000.0,,,,8300000.0,,,-2.901260679432337,0.007657679818951097,0.007001830867435301,467.41445511010727,20.228504122497057,,
KSS,2018-01-31,2018,annual,4514000000.0,126000000.0,2797000000.0,,1308000000.0,3206000000.0,13340000000.0,7914000000.0,5426000000.0,5331000000.0,2651000000.0,,19095000000.0,1416000000.0,2407000000.0,1416000000.0,859000000.0,991000000.0,299000000.0,1691000000.0,-672000000.0,1019000000.0,368000000.0,,-320000000.0,,4.735785953177258,8.050167224080267,1.3319484835895306,0.8319203833394766,0.3383808095952024,10.380952380952381,0.22574213557820116,720000000.0,
KSS,2019-01-31,2019,annual,3614000000.0,115000000.0,1861000000.0,1638000000.0,934000000.0,2680000000.0,12469000000.0,6942000000.0,5527000000.0,4835000000.0,2730000000.0,2105000000.0,20229000000.0,1298000000.0,2262000000.0,1465000000.0,801000000.0,964000000.0,256000000.0,2107000000.0,-578000000.0,1529000000.0,400000000.0,-1069000000.0,-430000000.0,4064000000.0,5.0703125,8.8359375,1.1847922192749778,0.6538809480730957,0.2898388002245569,8.121739130434783,0.4230769230769231,1273000000.0,0.06299212598425197
KSS,2020-01-31,2020,annual,6406000000.0,282000000.0,1856000000.0,4268000000.0,723000000.0,5683000000.0,14555000000.0,9105000000.0,5450000000.0,4649000000.0,2769000000.0,1880000000.0,19974000000.0,1108000000.0,2025000000.0,1212000000.0,691000000.0,917000000.0,207000000.0,1657000000.0,-855000000.0,802000000.0,423000000.0,-108000000.0,-501000000.0,5010000000.0,5.352657004830918,9.782608695652174,2.80641975308642,1.1754128440366973,0.44012366884232224,2.5638297872340425,0.12519512956603185,595000000.0,0.04131736526946108
KSS,2021-01-31,2021,annual,7015000000.0,276000000.0,2451000000.0,4288000000.0,2271000000.0,4744000000.0,15337000000.0,10141000000.0,5196000000.0,5835000000.0,3022000000.0,2813000000.0,15955000000.0,-262000000.0,612000000.0,15000000.0,-163000000.0,874000000.0,284000000.0,1338000000.0,-334000000.0,1004000000.0,108000000.0,504000000.0,-30000000.0,6710500000.0,-0.9225352112676056,2.1549295774647885,7.751633986928105,1.3500769822940724,0.4573906239812219,8.228260869565217,0.14312188168210976,720000000.0,0.04232173459503763
KSS,2022-01-31,2022,annual,6785000000.0,263000000.0,1910000000.0,4612000000.0,1587000000.0,5198000000.0,15054000000.0,10393000000.0,4661000000.0,5023000000.0,3286000000.0,1737000000.0,19433000000.0,1479000000.0,2317000000.0,1680000000.0,938000000.0,838000000.0,260000000.0,2271000000.0,-605000000.0,1666000000.0,147000000.0,-654000000.0,-1382000000.0,6900000000.0,5.688461538461539,8.911538461538461,2.243418213206733,1.4556962025316456,0.45071077454497144,6.034220532319392,0.2455416359616802,1406000000.0,0.03768115942028986
KSS,2023-01-31,2023,annual,7566000000.0,565000000.0,1637000000.0,5364000000.0,153000000.0,7413000000.0,14345000000.0,10582000000.0,3763000000.0,3736000000.0,3115000000.0,621000000.0,18098000000.0,246000000.0,1054000000.0,246000000.0,-19000000.0,808000000.0,304000000.0,282000000.0,-826000000.0,-544000000.0,239000000.0,79000000.0,-679000000.0,7175500000.0,0.8092105263157895,3.4671052631578947,7.033206831119545,2.010629816635663,0.5274311606831649,0.27079646017699116,-0.0719006079830822,-848000000.0,0.04236638561772699
KSS,2024-01-31,2024,annual,7376000000.0,277000000.0,1638000000.0,5461000000.0,183000000.0,7193000000.0,14009000000.0,10116000000.0,3893000000.0,3410000000.0,2612000000.0,798000000.0,17476000000.0,717000000.0,1466000000.0,717000000.0,317000000.0,749000000.0,344000000.0,1168000000.0,-577000000.0,591000000.0,220000000.0,-340000000.0,-16000000.0,7471000000.0,2.0843023255813953,4.261627906976744,4.906548431105048,1.8946827639352684,0.5265186665714897,0.6606498194945848,0.08012472885032539,247000000.0,0.04604470619729621
